Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596867667683.619629,1596867667683.772705,0.153076,-0.351807
2,1596867668684.043213,1596867668684.198975,0.155762,-0.358398
3,1596867669684.453125,1596867669684.612305,0.159180,-0.423584
4,1596867670684.870850,1596867670685.022461,0.151611,-0.409912
5,1596867671685.261719,1596867671685.417725,0.156006,-0.417725
6,1596867672685.662842,1596867672685.822266,0.159424,-0.390869
7,1596867673686.061523,1596867673686.214111,0.152588,-0.401123
8,1596867674686.464111,1596867674686.618652,0.154541,-0.398682
9,1596867675686.873779,1596867675686.995850,0.122070,-0.402588
10,1596867676687.154541,1596867676687.326660,0.172119,-0.409668
11,1596867677687.587158,1596867677687.751953,0.164795,-0.280762
12,1596867678687.992432,1596867678688.151123,0.158691,-0.432617
13,1596867679688.403320,1596867679688.555420,0.152100,-0.405273
14,1596867680688.795898,1596867680688.953369,0.157471,-0.410889
15,1596867681689.200195,1596867681689.360596,0.160400,-0.392578
16,1596867682689.599854,1596867682689.759277,0.159424,-0.404297
17,1596867683690.005859,1596867683690.155029,0.149170,-0.399658
18,1596867684690.398926,1596867684690.594482,0.195557,-0.406006
19,1596867685690.837891,1596867685690.998291,0.160400,-0.393066
20,1596867686691.249268,1596867686691.415283,0.166016,-0.438965
21,1596867687691.645752,1596867687691.793945,0.148193,-0.411377
22,1596867688692.028809,1596867688692.185547,0.156738,-0.396484
23,1596867689692.437744,1596867689692.602783,0.165039,-0.383057
24,1596867690692.845215,1596867690692.999512,0.154297,-0.408936
25,1596867691693.243652,1596867691693.391846,0.148193,-0.407471
26,1596867692693.622803,1596867692693.779297,0.156494,-0.398438
27,1596867693694.030518,1596867693694.189941,0.159424,-0.379150
28,1596867694694.437256,1596867694694.594482,0.157227,-0.407715
29,1596867695694.838623,1596867695694.993896,0.155273,-0.406738
30,1596867696695.235840,1596867696695.392334,0.156494,-0.401367
31,1596867697695.635986,1596867697695.791504,0.155518,-0.397217
32,1596867698696.037354,1596867698696.184570,0.147217,-0.400146
33,1596867699696.407715,1596867699696.564209,0.156494,-0.401367
34,1596867700696.804443,1596867700696.951172,0.146729,-0.370361
35,1596867701697.197021,1596867701697.351318,0.154297,-0.396729
36,1596867702697.591064,1596867702697.749512,0.158447,-0.392578
37,1596867703697.984131,1596867703698.135986,0.151855,-0.394043
38,1596867704698.369385,1596867704698.533936,0.164551,-0.393066
39,1596867705698.782227,1596867705698.942871,0.160645,-0.385254
40,1596867706699.179199,1596867706699.337891,0.158691,-0.412842
41,1596867707699.588135,1596867707699.740967,0.152832,-0.396973
42,1596867708699.981934,1596867708700.138672,0.156738,-0.408936
43,1596867709700.376953,1596867709700.569092,0.192139,-0.393799
44,1596867710700.835205,1596867710700.996338,0.161133,-0.395020
45,1596867711701.223633,1596867711701.383545,0.159912,-0.458252
46,1596867712701.624756,1596867712701.779541,0.154785,-0.388428
47,1596867713702.035400,1596867713702.194824,0.159424,-0.401123
48,1596867714702.426758,1596867714702.588623,0.161865,-0.410645
49,1596867715702.827393,1596867715702.991211,0.163818,-0.391357
50,1596867716703.228760,1596867716703.387939,0.159180,-0.400635
51,1596867717703.622559,1596867717703.785156,0.162598,-0.401367
52,1596867718704.022705,1596867718704.179932,0.157227,-0.393799
53,1596867719704.422852,1596867719704.578613,0.155762,-0.400146
54,1596867720704.836670,1596867720705.004395,0.167725,-0.400146
55,1596867721705.254150,1596867721705.404053,0.149902,-0.413818
56,1596867722705.653320,1596867722705.815674,0.162354,-0.417480
57,1596867723706.063232,1596867723706.217529,0.154297,-0.399170
58,1596867724706.463379,1596867724706.625732,0.162354,-0.409912
59,1596867725706.883301,1596867725707.045898,0.162598,-0.400146
60,1596867726707.284912,1596867726707.443359,0.158447,-0.419922
61,1596867727707.691895,1596867727707.849121,0.157227,-0.401611
62,1596867728708.100098,1596867728708.259277,0.159180,-0.406982
63,1596867729708.493896,1596867729708.654297,0.160400,-0.408203
64,1596867730709.134766,1596867730709.292725,0.157959,-0.393799
65,1596867731709.535889,1596867731709.685303,0.149414,-0.640869
