Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
230,1596870505003.310547,1596870505043.163818,39.853271,-0.293457
231,1596870505103.600098,1596870505143.475098,39.875000,-0.289551
232,1596870505203.886719,1596870505243.758057,39.871338,-0.286621
233,1596870505304.172607,1596870505344.039062,39.866455,-0.285889
234,1596870505404.459961,1596870505444.336426,39.876465,-0.287354
235,1596870505504.752686,1596870505544.646729,39.894043,-0.292725
236,1596870505751.246094,1596870505791.229492,39.983398,-146.493408
237,1596870505851.503662,1596870505891.424316,39.920654,-0.257568
238,1596870505951.738770,1596870505991.730957,39.992188,-0.235107
239,1596870506051.996094,1596870506092.049561,40.053467,-0.257324
240,1596870506152.286621,1596870506192.238037,39.951416,-0.290527
241,1596870506252.558838,1596870506292.527100,39.968262,-0.272217
242,1596870506352.821777,1596870506392.763672,39.941895,-0.262939
243,1596870506453.073486,1596870506492.988037,39.914551,-0.251709
244,1596870506553.340332,1596870506593.255615,39.915283,-0.266846
245,1596870506653.623535,1596870506693.596680,39.973145,-0.283203
246,1596870506753.843994,1596870506793.738281,39.894287,-0.220459
247,1596870506854.094482,1596870506894.129639,40.035156,-0.250488
248,1596870506954.501953,1596870506994.457275,39.955322,-0.407471
249,1596870507054.980713,1596870507094.919922,39.939209,-0.478760
250,1596870507155.219482,1596870507195.163330,39.943848,-0.238770
251,1596870507255.649414,1596870507295.604736,39.955322,-0.429932
252,1596870507355.892578,1596870507395.831787,39.939209,-0.243164
253,1596870507456.115479,1596870507496.359131,40.243652,-0.222900
254,1596870507556.430664,1596870507596.346924,39.916260,-0.315186
255,1596870507656.682129,1596870507696.740723,40.058594,-0.251465
256,1596870507757.200928,1596870507797.225098,40.024170,-0.518799
257,1596870507857.468262,1596870507897.430908,39.962646,-0.267334
258,1596870507957.723633,1596870507997.678711,39.955078,-0.255371
259,1596870508057.982422,1596870508097.966309,39.983887,-0.258789
260,1596870508158.209229,1596870508198.109619,39.900391,-0.226807
261,1596870508258.427734,1596870508298.327393,39.899658,-0.218506
262,1596870508358.654297,1596870508398.615967,39.961670,-0.226562
263,1596870508459.010742,1596870508499.065430,40.054688,-0.356445
264,1596870508559.418701,1596870508599.380127,39.961426,-0.407959
265,1596870508659.723633,1596870508699.718018,39.994385,-0.304932
