Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
77,1596870487156.111328,1596870487156.194336,0.083008,-51.026611
78,1596870487307.003418,1596870487307.082764,0.079346,-51.185791
79,1596870487457.850830,1596870487457.952881,0.102051,-50.892090
80,1596870487608.843750,1596870487608.921387,0.077637,-50.847412
81,1596870487759.573730,1596870487759.658691,0.084961,-50.992920
82,1596870487910.156250,1596870487910.240723,0.084473,-50.729980
83,1596870488061.095947,1596870488061.187988,0.092041,-50.582520
84,1596870488211.894775,1596870488211.982178,0.087402,-50.939697
85,1596870488362.992676,1596870488363.080078,0.087402,-50.798828
86,1596870488513.947021,1596870488514.030273,0.083252,-51.097900
87,1596870488664.957031,1596870488665.033936,0.076904,-50.954346
88,1596870488815.779053,1596870488815.855713,0.076660,-51.010010
89,1596870488966.954346,1596870488967.031982,0.077637,-50.822021
90,1596870489117.970703,1596870489118.047119,0.076416,-51.175293
91,1596870489268.830078,1596870489268.908691,0.078613,-51.016357
92,1596870489423.710205,1596870489423.787842,0.077637,-50.859375
93,1596870489574.440674,1596870489574.516357,0.075684,-54.880127
94,1596870489725.445312,1596870489725.526123,0.080811,-50.730469
95,1596870489876.545410,1596870489876.625732,0.080322,-51.004639
96,1596870490027.584961,1596870490027.662354,0.077393,-51.100098
97,1596870490178.271484,1596870490178.346680,0.075195,-51.039551
98,1596870490329.256348,1596870490329.335449,0.079102,-50.686523
99,1596870490480.345703,1596870490480.423340,0.077637,-50.984863
100,1596870490631.513428,1596870490631.592041,0.078613,-51.089355
101,1596870490782.209961,1596870490782.293213,0.083252,-51.167725
102,1596870490933.188721,1596870490933.281738,0.093018,-50.696533
103,1596870491084.335938,1596870491084.414551,0.078613,-50.978760
104,1596870491234.945312,1596870491235.024414,0.079102,-51.147217
105,1596870491385.603027,1596870491385.689697,0.086670,-50.609375
106,1596870491536.406738,1596870491536.485107,0.078369,-50.657715
107,1596870491687.491455,1596870491687.583984,0.092529,-50.803711
108,1596870491838.635010,1596870491838.718994,0.083984,-51.084717
109,1596870491989.272705,1596870491989.359131,0.086426,-51.143555
110,1596870492140.473145,1596870492140.626465,0.153320,-50.637695
111,1596870492291.176758,1596870492291.262207,0.085449,-51.200439
112,1596870492445.401855,1596870492445.481445,0.079590,-50.703613
113,1596870492596.171387,1596870492596.257324,0.085938,-54.225098
114,1596870492747.501953,1596870492747.579346,0.077393,-50.769531
115,1596870492890.553955,1596870492890.630615,0.076660,-51.330566
116,1596870493049.352051,1596870493049.424072,0.072021,-43.052002
117,1596870493200.595215,1596870493200.678467,0.083252,-58.798096
118,1596870493351.101807,1596870493351.174561,0.072754,-51.243164
119,1596870493501.911621,1596870493501.993164,0.081543,-50.506592
120,1596870493652.636719,1596870493652.718506,0.081787,-50.809814
121,1596870493803.756348,1596870493803.832031,0.075684,-50.725098
122,1596870493950.705322,1596870493950.877197,0.171875,-51.119629
123,1596870494093.562744,1596870494093.724609,0.161865,-46.948975
124,1596870494193.954102,1596870494194.055664,0.101562,-42.857422
125,1596870494294.211182,1596870494294.322266,0.111084,-0.391357
126,1596870494541.210449,1596870494541.329102,0.118652,-0.257080
127,1596870494641.467773,1596870494641.586182,0.118408,-146.999268
128,1596870494741.760498,1596870494741.932617,0.172119,-0.257324
129,1596870494842.110840,1596870494842.220947,0.110107,-0.292725
130,1596870494942.365967,1596870494942.488770,0.122803,-0.350342
131,1596870495042.638916,1596870495042.754150,0.115234,-0.255127
132,1596870495142.915771,1596870495143.035889,0.120117,-0.272949
133,1596870495243.185547,1596870495243.302002,0.116455,-0.276855
134,1596870495343.443848,1596870495343.581787,0.137939,-0.269775
135,1596870495443.739990,1596870495443.866943,0.126953,-0.258301
136,1596870495544.008789,1596870495544.132324,0.123535,-0.296143
137,1596870495644.297852,1596870495644.427979,0.130127,-0.268799
138,1596870495744.588379,1596870495744.721924,0.133545,-0.289062
139,1596870495844.888428,1596870495845.022217,0.133789,-0.290527
140,1596870495945.205811,1596870495945.333008,0.127197,-0.300049
141,1596870496045.556152,1596870496045.748535,0.192383,-0.317383
142,1596870496145.963135,1596870496146.084229,0.121094,-0.350342
143,1596870496246.235352,1596870496246.350342,0.114990,-0.406982
144,1596870496346.516357,1596870496346.632324,0.115967,-0.272217
145,1596870496446.800293,1596870496446.933594,0.133301,-0.281006
146,1596870496547.099854,1596870496547.223633,0.123779,-0.283936
147,1596870496647.360840,1596870496647.484619,0.123779,-0.299561
148,1596870496747.629150,1596870496747.720215,0.091064,-0.260986
149,1596870496847.858887,1596870496847.987549,0.128662,-0.268311
150,1596870496948.170654,1596870496948.322998,0.152344,-0.229736
151,1596870497048.498779,1596870497048.626465,0.127686,-0.311768
152,1596870497148.811523,1596870497149.033936,0.222412,-0.328125
153,1596870497249.220703,1596870497249.350342,0.129639,-0.312744
154,1596870497349.507080,1596870497349.619873,0.112793,-0.409180
155,1596870497449.777588,1596870497449.908447,0.130859,-0.286377
156,1596870497550.058350,1596870497550.159424,0.101074,-0.270508
157,1596870497650.310791,1596870497650.457031,0.146240,-0.280762
158,1596870497750.663818,1596870497750.772461,0.108643,-0.252441
159,1596870497850.911377,1596870497851.016846,0.105469,-0.353027
160,1596870497951.172607,1596870497951.286865,0.114258,-0.247559
161,1596870498051.434326,1596870498051.570312,0.135986,-0.261230
162,1596870498151.707764,1596870498151.821045,0.113281,-0.261719
163,1596870498251.964844,1596870498252.094238,0.129395,-0.273438
164,1596870498352.247070,1596870498352.351807,0.104736,-0.257080
165,1596870498452.529785,1596870498452.674805,0.145020,-0.282227
166,1596870498552.860596,1596870498553.006348,0.145752,-0.282715
167,1596870498653.187988,1596870498653.327148,0.139160,-0.330811
168,1596870498753.489746,1596870498753.625244,0.135498,-0.327393
169,1596870498853.779785,1596870498853.902100,0.122314,-0.301758
170,1596870498954.059082,1596870498954.179443,0.120361,-0.290039
171,1596870499054.324951,1596870499054.430908,0.105957,-0.279297
172,1596870499154.586670,1596870499154.704346,0.117676,-0.265869
173,1596870499254.861816,1596870499254.979248,0.117432,-0.261719
174,1596870499355.137695,1596870499355.254395,0.116699,-0.275146
175,1596870499455.418457,1596870499455.535645,0.117188,-0.275879
176,1596870499555.696289,1596870499555.816406,0.120117,-0.280762
177,1596870499655.980225,1596870499656.092529,0.112305,-0.277832
178,1596870499756.265137,1596870499756.383545,0.118408,-0.283936
179,1596870499856.550537,1596870499856.666992,0.116455,-0.284912
180,1596870499956.825195,1596870499956.940430,0.115234,-0.285400
181,1596870500057.103516,1596870500057.218750,0.115234,-0.274658
182,1596870500188.207031,1596870500188.254639,0.047607,-0.278320
183,1596870500288.408936,1596870500288.614014,0.205078,-31.103516
184,1596870500388.817627,1596870500388.935791,0.118164,-0.201904
185,1596870500489.085449,1596870500489.201416,0.115967,-0.408691
186,1596870500589.388184,1596870500589.587646,0.199463,-0.267822
187,1596870500689.876221,1596870500689.997314,0.121094,-0.302734
188,1596870500790.147705,1596870500790.276611,0.128906,-0.488037
189,1596870500890.689209,1596870500890.819092,0.129883,-0.271484
190,1596870500990.968262,1596870500991.080566,0.112305,-0.541504
191,1596870501091.240234,1596870501091.382568,0.142334,-0.279053
192,1596870501191.542236,1596870501191.656250,0.114014,-0.271973
193,1596870501291.805176,1596870501291.926514,0.121338,-0.302002
194,1596870501392.083008,1596870501392.196045,0.113037,-0.262939
195,1596870501492.372314,1596870501492.519775,0.147461,-0.277832
196,1596870501592.678223,1596870501592.829102,0.150879,-0.289307
197,1596870501693.081299,1596870501693.329346,0.248047,-0.305908
198,1596870501793.511963,1596870501793.626221,0.114258,-0.403076
199,1596870501893.770752,1596870501893.867676,0.096924,-0.430664
200,1596870501994.001465,1596870501994.111816,0.110352,-0.258789
201,1596870502094.271484,1596870502094.404053,0.132568,-0.230713
202,1596870502194.546143,1596870502194.637451,0.091309,-0.270020
203,1596870502294.759277,1596870502294.868408,0.109131,-0.274658
204,1596870502395.017090,1596870502395.186523,0.169434,-0.213135
205,1596870502495.589844,1596870502495.818115,0.228271,-0.257812
206,1596870502595.997803,1596870502596.131104,0.133301,-0.572754
207,1596870502696.288818,1596870502696.411133,0.122314,-0.407959
208,1596870502796.566162,1596870502796.702881,0.136719,-0.291016
209,1596870502896.890381,1596870502897.059814,0.169434,-0.277344
210,1596870502997.264160,1596870502997.384521,0.120361,-0.324219
211,1596870503097.556641,1596870503097.678223,0.121582,-0.373779
212,1596870503197.843018,1596870503197.960205,0.117188,-0.292480
213,1596870503298.114990,1596870503298.229492,0.114502,-0.286377
214,1596870503398.408691,1596870503398.528076,0.119385,-0.271973
215,1596870503498.693359,1596870503498.827148,0.133789,-0.293701
216,1596870503599.009277,1596870503599.141113,0.131836,-0.284668
217,1596870503699.323242,1596870503699.440674,0.117432,-0.315918
218,1596870503799.610840,1596870503799.729980,0.119141,-0.313965
219,1596870503899.902588,1596870503900.020264,0.117676,-0.287598
220,1596870504000.196777,1596870504000.306152,0.109375,-0.291748
221,1596870504100.478516,1596870504100.632812,0.154297,-0.294189
222,1596870504200.778564,1596870504200.910156,0.131592,-0.281738
223,1596870504301.052490,1596870504301.166260,0.113770,-0.300049
224,1596870504401.334473,1596870504401.454590,0.120117,-0.273926
225,1596870504501.630371,1596870504501.769043,0.138672,-0.281982
226,1596870504601.926514,1596870504602.047607,0.121094,-0.295898
227,1596870504702.201172,1596870504702.316406,0.115234,-0.296143
228,1596870504802.470215,1596870504802.589111,0.118896,-0.274658
229,1596870504902.751953,1596870504902.870605,0.118652,-0.269043
230,1596870505003.042236,1596870505003.162842,0.120605,-0.281738
231,1596870505103.331055,1596870505103.450195,0.119141,-0.290283
232,1596870505203.617188,1596870505203.736328,0.119141,-0.288818
233,1596870505303.905273,1596870505304.020996,0.115723,-0.286133
234,1596870505404.189209,1596870505404.311523,0.122314,-0.288086
235,1596870505504.482178,1596870505504.602783,0.120605,-0.283936
236,1596870505751.083740,1596870505751.138672,0.054932,-0.292969
237,1596870505851.254150,1596870505851.368896,0.114746,-146.601562
238,1596870505951.508301,1596870505951.599609,0.091309,-0.170410
239,1596870506051.749268,1596870506051.866455,0.117188,-0.254150
240,1596870506152.020264,1596870506152.154541,0.134277,-0.240967
241,1596870506252.298340,1596870506252.421143,0.122803,-0.270996
242,1596870506352.570312,1596870506352.684326,0.114014,-0.278076
243,1596870506452.827148,1596870506452.937988,0.110840,-0.271973
244,1596870506553.083008,1596870506553.197266,0.114258,-0.256836
245,1596870506653.349121,1596870506653.478271,0.129150,-0.255859
246,1596870506753.627197,1596870506753.721680,0.094482,-0.266113
247,1596870506853.856934,1596870506853.967041,0.110107,-0.278076
248,1596870506954.154053,1596870506954.343018,0.188965,-0.229736
249,1596870507054.559814,1596870507054.793945,0.234131,-0.297119
250,1596870507154.975098,1596870507155.082031,0.106934,-0.405762
251,1596870507255.234131,1596870507255.358887,0.124756,-0.415283
252,1596870507355.647705,1596870507355.758789,0.111084,-0.259033
253,1596870507455.896240,1596870507455.987793,0.091553,-0.413574
254,1596870507556.143311,1596870507556.279297,0.135986,-0.248535
255,1596870507656.431885,1596870507656.543457,0.111572,-0.247070
256,1596870507756.734131,1596870507757.034424,0.300293,-0.288574
257,1596870507857.206299,1596870507857.323730,0.117432,-0.302246
258,1596870507957.469238,1596870507957.576660,0.107422,-0.472168
259,1596870508057.728271,1596870508057.848145,0.119873,-0.262939
260,1596870508157.985596,1596870508158.092041,0.106445,-0.259033
261,1596870508258.219971,1596870508258.316895,0.096924,-0.257324
262,1596870508358.437500,1596870508358.538818,0.101318,-0.234375
263,1596870508458.685059,1596870508458.829346,0.144287,-0.217529
264,1596870508559.030518,1596870508559.221436,0.190918,-0.247559
265,1596870508659.426025,1596870508659.564453,0.138428,-0.345459
266,1596870508759.739990,1596870508759.864502,0.124512,-0.395508
267,1596870508860.018066,1596870508860.139160,0.121094,-0.313965
268,1596870508960.303711,1596870508960.431641,0.127930,-0.278076
269,1596870509060.642822,1596870509060.789551,0.146729,-0.285645
270,1596870509160.964844,1596870509161.144043,0.179199,-0.339111
271,1596870509261.313721,1596870509261.422119,0.108398,-0.322021
272,1596870509361.566895,1596870509361.678711,0.111816,-0.348877
273,1596870509461.817139,1596870509461.940674,0.123535,-0.253174
274,1596870509562.094482,1596870509562.214844,0.120361,-0.250244
275,1596870509662.363037,1596870509662.472900,0.109863,-0.277344
276,1596870509762.621826,1596870509762.750000,0.128174,-0.268555
277,1596870509862.921143,1596870509863.074463,0.153320,-0.258789
278,1596870509963.273926,1596870509963.475342,0.201416,-0.299316
