Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
115,1596866285676.260254,1596866285716.396729,40.136475,-0.269287
116,1596866285776.524902,1596866285817.864990,41.340088,-0.264648
117,1596866285876.785400,1596866285916.948242,40.162842,-0.260498
118,1596866285977.048584,1596866286017.196533,40.147949,-0.263184
119,1596866286077.313965,1596866286117.418457,40.104492,-0.265381
120,1596866286177.576904,1596866286217.691895,40.114990,-0.262939
121,1596866286277.844727,1596866286318.031738,40.187012,-0.267822
122,1596866286378.115479,1596866286418.232178,40.116699,-0.270752
123,1596866286478.385010,1596866286518.521729,40.136719,-0.269531
124,1596866286578.652832,1596866286618.793213,40.140381,-0.267822
125,1596866286678.920898,1596866286719.042480,40.121582,-0.268066
126,1596866291629.354492,1596866291669.835205,40.480713,-4850.433594
127,1596866291701.250732,1596866291741.618896,40.368164,28.103760
128,1596866291773.528564,1596866291813.879883,40.351318,27.722168
129,1596866291873.882812,1596866291915.907715,42.024902,-0.354248
130,1596866291974.210693,1596866292014.615723,40.405029,-0.327881
131,1596866292074.598145,1596866292115.017334,40.419189,-0.387451
132,1596866292175.087891,1596866292215.493408,40.405518,-0.489746
133,1596866292275.424561,1596866292315.720459,40.295898,-0.336670
134,1596866292375.736572,1596866292416.094482,40.357910,-0.312012
135,1596866292476.120850,1596866292516.450928,40.330078,-0.384277
136,1596866292576.629639,1596866292617.029297,40.399658,-0.508789
137,1596866292676.928223,1596866292717.192139,40.263916,-0.298584
138,1596866292777.256592,1596866292817.623047,40.366455,-0.328369
139,1596866292877.582764,1596866292917.870361,40.287598,-0.326172
140,1596866292978.047607,1596866293018.452881,40.405273,-0.464844
141,1596866293078.848877,1596866293119.259766,40.410889,-0.801270
142,1596866293179.144531,1596866293219.424561,40.280029,-0.295654
143,1596866293279.512207,1596866293319.791016,40.278809,-0.367676
144,1596866293379.822021,1596866293420.181641,40.359619,-0.309814
145,1596866293480.179199,1596866293520.582275,40.403076,-0.357178
146,1596866293580.538574,1596866293620.944580,40.406006,-0.359375
147,1596866293680.911865,1596866293721.290283,40.378418,-0.373291
148,1596866293781.322021,1596866293821.821777,40.499756,-0.410156
149,1596866293881.665527,1596866293922.082275,40.416748,-0.343506
150,1596866293982.149414,1596866294022.461182,40.311768,-0.483887
151,1596866294082.913330,1596866294123.310547,40.397217,-0.763916
152,1596866294183.198975,1596866294223.604980,40.406006,-0.285645
153,1596866294283.510498,1596866294323.874756,40.364258,-0.311523
154,1596866294383.811768,1596866294424.190674,40.378906,-0.301270
155,1596866294484.263916,1596866294524.548340,40.284424,-0.452148
156,1596866294584.718262,1596866294625.064941,40.346680,-0.454346
157,1596866294685.038330,1596866294725.350586,40.312256,-0.320068
158,1596866294785.450195,1596866294825.805664,40.355469,-0.411865
159,1596866294885.693115,1596866294926.080078,40.386963,-0.242920
160,1596866294985.985352,1596866295027.319580,41.334229,-0.292236
161,1596866295086.356201,1596866295126.734131,40.377930,-0.370850
162,1596866295186.735840,1596866295227.058350,40.322510,-0.379639
163,1596866295287.059326,1596866295327.411377,40.352051,-0.323486
164,1596866295387.364746,1596866295427.676025,40.311279,-0.305420
165,1596866295487.694580,1596866295528.059082,40.364502,-0.329834
166,1596866295587.953613,1596866295628.316895,40.363281,-0.259033
167,1596866295688.287842,1596866295728.656006,40.368164,-0.334229
168,1596866295788.580078,1596866295828.976074,40.395996,-0.292236
169,1596866295888.889893,1596866295929.317383,40.427490,-0.309814
170,1596866295989.206055,1596866296029.578613,40.372559,-0.316162
171,1596866296089.489990,1596866296130.011230,40.521240,-0.283936
172,1596866296189.861084,1596866296230.337158,40.476074,-0.371094
173,1596866296290.318604,1596866296330.984863,40.666260,-0.457520
174,1596866296390.607666,1596866296431.567871,40.960205,-0.289062
175,1596866296490.898926,1596866296531.287109,40.388184,-0.291260
176,1596866296591.184082,1596866296631.576660,40.392578,-0.285156
177,1596866296691.499512,1596866296731.801025,40.301514,-0.315430
178,1596866296791.989502,1596866296832.437744,40.448242,-0.489990
179,1596866296892.470947,1596866296932.943359,40.472412,-0.481445
180,1596866296992.755371,1596866297032.966797,40.211426,-0.284424
181,1596866297092.999023,1596866297133.177246,40.178223,-0.243652
182,1596866297193.241699,1596866297233.408203,40.166504,-0.242676
183,1596866297293.485352,1596866297333.641602,40.156250,-0.243652
184,1596866297393.716309,1596866297433.860107,40.143799,-0.230957
185,1596866297493.954834,1596866297534.116943,40.162109,-0.238525
186,1596866297594.191650,1596866297634.342529,40.150879,-0.236816
187,1596866297694.427002,1596866297734.607910,40.180908,-0.235352
188,1596866297794.670410,1596866297834.856445,40.186035,-0.243408
189,1596866297894.906494,1596866297935.571289,40.664795,-0.236084
190,1596866297995.323730,1596866298035.574951,40.251221,-0.417236
191,1596866298095.560303,1596866298135.718262,40.157959,-0.236572
192,1596866298195.798340,1596866298235.977783,40.179443,-0.238037
193,1596866298296.027832,1596866298336.211670,40.183838,-0.229492
194,1596866298396.261230,1596866298436.421387,40.160156,-0.233398
195,1596866298496.493896,1596866298536.661377,40.167480,-0.232666
196,1596866298596.730469,1596866298636.953857,40.223389,-0.236572
197,1596866298696.966309,1596866298737.127441,40.161133,-0.235840
198,1596866298797.206787,1596866298837.365967,40.159180,-0.240479
199,1596866298897.444824,1596866298937.617432,40.172607,-0.238037
200,1596866298997.687012,1596866299037.864502,40.177490,-0.242188
201,1596866299097.925293,1596866299138.081299,40.156006,-0.238281
202,1596866299198.165771,1596866299238.372803,40.207031,-0.240479
203,1596866299298.460938,1596866299338.681152,40.220215,-0.295166
204,1596866299398.753418,1596866299438.953857,40.200439,-0.292480
205,1596866299499.019043,1596866299539.224854,40.205811,-0.265625
206,1596866299599.308350,1596866299639.532959,40.224609,-0.289307
207,1596866299699.596191,1596866299739.757324,40.161133,-0.287842
208,1596866299799.829590,1596866299839.997070,40.167480,-0.233398
209,1596866299900.060791,1596866299940.238281,40.177490,-0.231201
210,1596866300000.297852,1596866300040.451416,40.153564,-0.237061
211,1596866300100.536865,1596866300140.713379,40.176514,-0.239014
212,1596866300200.775635,1596866300240.971191,40.195557,-0.238770
213,1596866300301.019531,1596866300341.199951,40.180420,-0.243896
214,1596866300401.254150,1596866300441.432129,40.177979,-0.234619
215,1596866300501.490479,1596866300541.634033,40.143555,-0.236328
216,1596866300601.731689,1596866300641.873291,40.141602,-0.241211
217,1596866300701.970459,1596866300742.116455,40.145996,-0.238770
218,1596866300802.208008,1596866300842.351807,40.143799,-0.237549
219,1596866300902.452393,1596866300942.618408,40.166016,-0.244385
220,1596866301002.840332,1596866301043.126465,40.286133,-0.387939
221,1596866301103.083740,1596866301143.229736,40.145996,-0.243408
222,1596866301203.327148,1596866301243.472900,40.145752,-0.243408
223,1596866301303.583496,1596866301343.758789,40.175293,-0.256348
224,1596866301403.836426,1596866301444.002930,40.166504,-0.252930
225,1596866301504.088379,1596866301544.247070,40.158691,-0.251953
226,1596866301604.348145,1596866301644.535889,40.187744,-0.259766
227,1596866301704.601074,1596866301744.757324,40.156250,-0.252930
228,1596866301804.847900,1596866301844.997314,40.149414,-0.246826
229,1596866301905.095215,1596866301945.263672,40.168457,-0.247314
230,1596866302005.344727,1596866302045.492676,40.147949,-0.249512
231,1596866302105.599365,1596866302145.752441,40.153076,-0.254639
232,1596866302205.841309,1596866302246.018799,40.177490,-0.241943
233,1596866302306.098877,1596866302346.261475,40.162598,-0.257568
234,1596866302406.328857,1596866302446.483154,40.154297,-0.229980
235,1596866302506.563965,1596866302546.726562,40.162598,-0.235107
236,1596866302606.808105,1596866302647.000244,40.192139,-0.244141
237,1596866302707.072998,1596866302747.251465,40.178467,-0.264893
238,1596866302807.335449,1596866302847.534668,40.199219,-0.262451
239,1596866302907.569092,1596866302947.723633,40.154541,-0.233643
240,1596866303007.805176,1596866303047.978271,40.173096,-0.236084
241,1596866303108.043457,1596866303148.190674,40.147217,-0.238281
242,1596866303208.278320,1596866303248.435791,40.157471,-0.234863
243,1596866303308.515137,1596866303348.675537,40.160400,-0.236816
244,1596866303408.756104,1596866303448.912354,40.156250,-0.240967
245,1596866303509.467529,1596866303549.802734,40.335205,-0.711426
246,1596866303939.911377,1596866303980.226074,40.314697,-330.443848
247,1596866304040.335938,1596866304081.636230,41.300293,-0.424561
248,1596866304140.733887,1596866304181.128418,40.394531,-0.397949
249,1596866304241.173828,1596866304281.598877,40.425049,-0.439941
250,1596866304341.892090,1596866304382.251709,40.359619,-0.718262
251,1596866304442.296875,1596866304482.755371,40.458496,-0.404785
252,1596866304542.662354,1596866304583.056641,40.394287,-0.365479
253,1596866304643.106445,1596866304683.569092,40.462646,-0.444092
254,1596866304743.424561,1596866304783.830811,40.406250,-0.318115
255,1596866304843.721680,1596866304884.102539,40.380859,-0.297119
256,1596866304944.064453,1596866304984.590088,40.525635,-0.342773
257,1596866305044.351807,1596866305084.929443,40.577637,-0.287354
258,1596866305144.795898,1596866305187.266602,42.470703,-0.444092
259,1596866305245.138916,1596866305285.643799,40.504883,-0.343018
260,1596866305345.444336,1596866305387.793213,42.348877,-0.305420
261,1596866305445.785156,1596866305488.328125,42.542969,-0.340820
262,1596866305546.097412,1596866305588.435547,42.338135,-0.312256
263,1596866305646.497314,1596866305688.778564,42.281250,-0.399902
264,1596866305746.840820,1596866305789.070312,42.229492,-0.343506
265,1596866305847.072266,1596866305887.333984,40.261719,-0.231445
266,1596866305947.311523,1596866305987.476074,40.164551,-0.239258
267,1596866306047.547119,1596866306087.832520,40.285400,-0.235596
268,1596866306147.785400,1596866306188.072510,40.287109,-0.238281
269,1596866306248.024658,1596866306288.180664,40.156006,-0.239258
270,1596866306348.268311,1596866306388.567627,40.299316,-0.243652
271,1596866306448.507568,1596866306488.844727,40.337158,-0.239258
