Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
155,1596866294483.894043,1596866294484.124512,0.230469,-0.318115
156,1596866294584.345703,1596866294584.582275,0.236572,-0.351807
157,1596866294684.740967,1596866294684.870361,0.129395,-0.451660
158,1596866294785.125244,1596866294785.291260,0.166016,-0.395264
159,1596866294885.457031,1596866294885.564941,0.107910,-0.384277
160,1596866294985.722168,1596866294985.854980,0.132812,-0.331787
161,1596866295086.021973,1596866295086.190186,0.168213,-0.265137
162,1596866295186.480957,1596866295186.602295,0.121338,-0.299805
163,1596866295286.783203,1596866295286.918945,0.135742,-0.458984
164,1596866295387.078125,1596866295387.217041,0.138916,-0.302246
165,1596866295487.399170,1596866295487.547852,0.148682,-0.294922
166,1596866295587.708252,1596866295587.815918,0.107666,-0.321045
167,1596866295687.989502,1596866295688.138184,0.148682,-0.309082
168,1596866295788.307861,1596866295788.442871,0.135010,-0.281250
169,1596866295888.608887,1596866295888.744385,0.135498,-0.318359
170,1596866295988.918945,1596866295989.041992,0.123047,-0.301025
171,1596866296089.219727,1596866296089.343262,0.123535,-0.310059
172,1596866296189.534180,1596866296189.708496,0.174316,-0.300781
173,1596866296289.980225,1596866296290.157471,0.177246,-0.314453
174,1596866296390.336914,1596866296390.458008,0.121094,-0.446045
175,1596866296490.635986,1596866296490.761230,0.125244,-0.356689
176,1596866296590.921875,1596866296591.050049,0.128174,-0.299072
177,1596866296691.232422,1596866296691.361816,0.129395,-0.285889
178,1596866296791.580811,1596866296791.805420,0.224609,-0.310547
179,1596866296892.036133,1596866296892.270264,0.234131,-0.348389
180,1596866296992.464111,1596866296992.568115,0.104004,-0.455322
181,1596866297092.768555,1596866297092.872559,0.104004,-0.427979
182,1596866297193.012695,1596866297193.119385,0.106689,-0.304443
183,1596866297293.254883,1596866297293.359131,0.104248,-0.244141
184,1596866297393.498291,1596866297393.599121,0.100830,-0.242188
185,1596866297493.729248,1596866297493.833740,0.104492,-0.243408
186,1596866297593.967773,1596866297594.068848,0.101074,-0.230957
187,1596866297694.205078,1596866297694.307373,0.102295,-0.238525
188,1596866297794.447998,1596866297794.547607,0.099609,-0.237305
189,1596866297894.679199,1596866297894.781250,0.102051,-0.242920
190,1596866297994.919922,1596866297995.016602,0.096680,-0.231201
191,1596866298095.330811,1596866298095.429199,0.098389,-0.240723
192,1596866298195.573486,1596866298195.669922,0.096436,-0.410889
193,1596866298295.806641,1596866298295.901855,0.095215,-0.242676
194,1596866298396.036133,1596866298396.135498,0.099365,-0.233154
195,1596866298496.269043,1596866298496.366455,0.097412,-0.229492
196,1596866298596.503906,1596866298596.601562,0.097656,-0.232910
197,1596866298696.742188,1596866298696.843506,0.101318,-0.234863
198,1596866298796.981934,1596866298797.080078,0.098145,-0.238281
199,1596866298897.221191,1596866298897.319824,0.098633,-0.239746
200,1596866298997.457520,1596866298997.558594,0.101074,-0.239258
201,1596866299097.698975,1596866299097.800293,0.101318,-0.236328
202,1596866299197.943115,1596866299198.041748,0.098633,-0.241455
203,1596866299298.203613,1596866299298.322998,0.119385,-0.244141
204,1596866299398.493652,1596866299398.616211,0.122559,-0.260498
205,1596866299498.772705,1596866299498.883789,0.111084,-0.290039
206,1596866299599.053223,1596866299599.172363,0.119141,-0.279053
207,1596866299699.338379,1596866299699.455811,0.117432,-0.280518
208,1596866299799.601807,1596866299799.705322,0.103516,-0.285156
209,1596866299899.838623,1596866299899.936279,0.097656,-0.263428
210,1596866300000.074707,1596866300000.173340,0.098633,-0.236816
211,1596866300100.310303,1596866300100.412354,0.102051,-0.236084
212,1596866300200.547852,1596866300200.653809,0.105957,-0.235596
213,1596866300300.792236,1596866300300.894775,0.102539,-0.237549
214,1596866300401.031006,1596866300401.134033,0.103027,-0.244385
215,1596866300501.265869,1596866300501.368408,0.102539,-0.238770
216,1596866300601.503418,1596866300601.607666,0.104248,-0.234863
217,1596866300701.744385,1596866300701.848145,0.103760,-0.237549
218,1596866300801.984863,1596866300802.086914,0.102051,-0.240967
219,1596866300902.222412,1596866300902.331055,0.108643,-0.240479
220,1596866301002.497559,1596866301002.687500,0.189941,-0.237549
221,1596866301102.850586,1596866301102.953369,0.102783,-0.275146
222,1596866301203.097656,1596866301203.196045,0.098389,-0.353027
223,1596866301303.341309,1596866301303.445801,0.104492,-0.247070
224,1596866301403.593262,1596866301403.698975,0.105713,-0.243652
225,1596866301503.844482,1596866301503.950928,0.106445,-0.251953
226,1596866301604.095947,1596866301604.202393,0.106445,-0.251221
227,1596866301704.357178,1596866301704.464844,0.107666,-0.251465
228,1596866301804.609619,1596866301804.717285,0.107666,-0.261230
229,1596866301904.856934,1596866301904.964111,0.107178,-0.252441
230,1596866302005.107666,1596866302005.211670,0.104004,-0.247314
231,1596866302105.357178,1596866302105.465576,0.108398,-0.250732
232,1596866302205.612305,1596866302205.709717,0.097412,-0.249512
233,1596866302305.853516,1596866302305.961426,0.107910,-0.255127
234,1596866302406.106934,1596866302406.205078,0.098145,-0.241211
235,1596866302506.338379,1596866302506.437012,0.098633,-0.253418
236,1596866302606.572510,1596866302606.682617,0.110107,-0.231445
237,1596866302706.820312,1596866302706.940674,0.120361,-0.234131
238,1596866302807.084961,1596866302807.207031,0.122070,-0.247803
239,1596866302907.343994,1596866302907.442383,0.098389,-0.264648
240,1596866303007.579346,1596866303007.678711,0.099365,-0.259033
241,1596866303107.814697,1596866303107.913818,0.099121,-0.235352
242,1596866303208.052246,1596866303208.151855,0.099609,-0.235352
243,1596866303308.287354,1596866303308.387695,0.100342,-0.237549
244,1596866303408.523193,1596866303408.627441,0.104248,-0.235107
245,1596866303508.891846,1596866303509.199219,0.307373,-0.235840
246,1596866303939.767090,1596866303939.813965,0.046875,-0.368652
247,1596866304039.981689,1596866304040.160889,0.179199,-330.875244
248,1596866304140.365723,1596866304140.541504,0.175781,-0.214600
249,1596866304240.779297,1596866304240.980225,0.200928,-0.384033
250,1596866304341.274902,1596866304341.590332,0.315430,-0.413574
251,1596866304441.931152,1596866304442.129395,0.198242,-0.495605
252,1596866304542.320801,1596866304542.462402,0.141602,-0.656250
253,1596866304642.682129,1596866304642.815430,0.133301,-0.389648
254,1596866304743.126709,1596866304743.274902,0.148193,-0.361328
255,1596866304843.448242,1596866304843.580811,0.132568,-0.444580
256,1596866304943.768555,1596866304943.910645,0.142090,-0.321533
257,1596866305044.075195,1596866305044.197021,0.121826,-0.320312
258,1596866305144.426025,1596866305144.611572,0.185547,-0.306641
259,1596866305244.849609,1596866305244.988525,0.138916,-0.350830
260,1596866305345.177979,1596866305345.308105,0.130127,-0.423584
261,1596866305445.479004,1596866305445.617676,0.138672,-0.328369
262,1596866305545.828125,1596866305545.960449,0.132324,-0.301025
263,1596866305646.163574,1596866305646.341797,0.178223,-0.349121
264,1596866305746.535156,1596866305746.686035,0.150879,-0.335449
265,1596866305846.847168,1596866305846.947998,0.100830,-0.371582
266,1596866305947.087158,1596866305947.186768,0.099609,-0.312012
267,1596866306047.321777,1596866306047.422852,0.101074,-0.239990
268,1596866306147.560059,1596866306147.663818,0.103760,-0.234619
269,1596866306247.798584,1596866306247.901123,0.102539,-0.238281
270,1596866306348.040771,1596866306348.143555,0.102783,-0.238525
271,1596866306448.282715,1596866306448.383789,0.101074,-0.242188
272,1596866306548.520996,1596866306548.623047,0.102051,-0.241943
273,1596866306648.760986,1596866306648.864258,0.103271,-0.238281
274,1596866306749.003662,1596866306749.103516,0.099854,-0.239990
275,1596866306849.243652,1596866306849.349121,0.105469,-0.242676
276,1596866306949.489990,1596866306949.601562,0.111572,-0.239990
277,1596866307049.771973,1596866307049.888184,0.116211,-0.246338
278,1596866307150.042236,1596866307150.150146,0.107910,-0.281982
279,1596866307250.278564,1596866307250.382812,0.104248,-0.270264
280,1596866307350.521973,1596866307350.626465,0.104492,-0.236328
281,1596866307450.765381,1596866307450.871094,0.105713,-0.243408
282,1596866307551.014160,1596866307551.123047,0.108887,-0.243408
283,1596866307726.623291,1596866307726.668945,0.045654,-0.248779
284,1596866307826.820801,1596866307826.958984,0.138184,-75.609131
285,1596866307927.232178,1596866307927.463379,0.231201,-0.197510
286,1596866308027.646484,1596866308027.793213,0.146729,-0.411377
287,1596866308127.981689,1596866308128.104492,0.122803,-0.414307
288,1596866308228.341797,1596866308228.531494,0.189697,-0.335205
289,1596866308328.730225,1596866308328.869873,0.139648,-0.360107
290,1596866308429.077148,1596866308429.287598,0.210449,-0.388428
291,1596866308529.554688,1596866308529.861816,0.307129,-0.346924
292,1596866308630.146240,1596866308630.273193,0.126953,-0.477539
293,1596866308730.453125,1596866308730.573975,0.120850,-0.591553
294,1596866308830.764160,1596866308830.884766,0.120605,-0.306885
295,1596866308931.053711,1596866308931.181641,0.127930,-0.311035
296,1596866309031.361328,1596866309031.466309,0.104980,-0.289551
297,1596866309131.641846,1596866309131.779053,0.137207,-0.307617
298,1596866309231.953369,1596866309232.100830,0.147461,-0.280518
299,1596866309332.307861,1596866309332.429688,0.121826,-0.311523
300,1596866309432.672363,1596866309432.885254,0.212891,-0.354492
301,1596866309533.097656,1596866309533.240479,0.142822,-0.364502
302,1596866309633.426270,1596866309633.594971,0.168701,-0.425293
303,1596866309733.855225,1596866309734.023926,0.168701,-0.328613
304,1596866309834.249268,1596866309834.545410,0.296143,-0.428955
305,1596866309934.800537,1596866309934.952148,0.151611,-0.394043
306,1596866310035.145508,1596866310035.296387,0.150879,-0.551270
307,1596866310135.511963,1596866310135.717285,0.205322,-0.344971
308,1596866310235.942871,1596866310236.200684,0.257812,-0.366455
309,1596866310336.452148,1596866310336.704102,0.251953,-0.430908
310,1596866310436.977539,1596866310437.179688,0.202148,-0.509277
311,1596866310537.425781,1596866310537.681396,0.255615,-0.525391
312,1596866310637.881104,1596866310638.124512,0.243408,-0.448242
313,1596866310738.408447,1596866310738.553711,0.145264,-0.455322
314,1596866310838.790771,1596866310838.951416,0.160645,-0.527344
315,1596866310939.126465,1596866310939.270996,0.144531,-0.382324
316,1596866311039.498779,1596866311039.713135,0.214355,-0.335693
317,1596866311140.045166,1596866311140.160645,0.115479,-0.372314
318,1596866311240.408203,1596866311240.613037,0.204834,-0.546387
319,1596866311340.822998,1596866311340.956055,0.133057,-0.363037
